benchmark_id,host_CPI,host_L2_BW,host_L3_BW,host_L3_SYSTEM_BW,host_MEM_BW,host_context_switch,host_cpupercent,cluster
cachebench,2.931,6306.101,9.269,15.607,10.988,1922.502,6.938,1
prev,4.024,3.118,3.403,6.803,5.685,3871.609,2.051,1
compress-7zip,3.406,184.8,135.547,137.477,104.903,2084.185,13.554,1
cpuminer-opt,12.485,1616.488,1445.494,897.715,339.534,2444.014,13.341,1
espeak,2.799,67.6,24.668,33.793,19.218,2004.611,6.568,1
fhourstones,12.817,199.414,181.595,177.432,130.342,2316.597,6.789,1
fs-mark,2.664,8.547,8.74,25.386,18.217,1945.195,3.2,1
hmmer,2.484,1653.979,1086.502,818.589,968.559,2270.712,13.303,1
n-queens,3.106,8.363,8.165,19.921,9.813,3052.799,14.082,1
postmark,14.379,230.678,202.637,598.448,361.157,1967.842,7.34,1
ramspeed,18.91,3062.438,3054.744,2200.517,3062.851,2623.121,13.796,1
redis,3.013,8.518,8.556,16.013,11.548,1873.713,1.175,1
sample-program,4.741,8.401,8.248,15.218,9.959,1779.764,6.574,1
sqlite,3.154,9.037,9.848,20.371,12.113,2940.437,7.116,1
stream,4.145,3042.99,3029.056,2186.199,3055.008,2086.82,12.336,2
lusearch,3.136,14.336,15.405,19.38,11.417,3965.005,9.133,2
pmd,2.929,841.594,589.948,280.671,50.841,4462.505,7.726,2
xalan,2.733,632.954,476.042,206.138,40.147,4590.586,9.832,2
luindex,3.055,1255.483,888.561,386.944,56.268,3407.938,5.922,2
sunflow,2.784,57.181,45.65,27.677,12.46,4205.793,5.63,2
h2,2.968,1306.725,683.869,436.647,130.451,3755.871,13.379,2
batik,3.446,1899.178,773.757,523.656,156.756,3070.688,6.642,2
fop,2.907,465.631,342.558,152.008,24.668,3466.484,5.355,2
parsec.blackscholes,4.017,1989.632,1455.089,680.374,132.578,4482.279,2.165,2
parsec.bodytrack,2.94,8.25,7.943,14.323,10.558,1481.402,1,2
parsec.dedup,2.577,44.981,28.041,41.208,12.345,28458.789,7.371,3
parsec.ferret,3.038,241.811,104.598,128.695,20.803,7312.591,6.737,3
parsec.fluidanimate,2.827,235.93,91.847,110.82,19.624,7669.437,6.417,3
parsec.freqmine,2.717,140.225,99.552,127.23,37.406,5114.207,5.894,3
