,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.03,0.58,0.0,0.0,0.0,0.0,0.45,0.0,0.03,0.0,0.02,0.0,0.24,0.24,0.0,0.0,0.24,0.0,0.44
1,0.09,0.0,0.0,0.0,0.0,0.01,0.08,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.45
2,0.06,0.02,0.02,0.02,0.03,0.0,0.96,0.0,0.0,0.0,0.24,0.0,0.14,0.14,0.17,0.0,0.14,0.0,0.44
3,0.61,0.15,0.24,0.15,0.11,0.0,0.94,0.0,0.01,0.0,0.07,0.0,0.22,0.22,0.32,0.01,0.22,0.0,0.44
4,0.02,0.01,0.0,0.0,0.0,0.0,0.43,0.0,0.01,0.0,0.01,0.0,0.03,0.03,0.01,0.0,0.03,0.0,0.44
5,0.63,0.02,0.03,0.03,0.04,0.0,0.44,0.0,0.01,0.0,0.03,0.0,0.09,0.09,0.03,0.0,0.09,0.0,0.44
6,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.05,0.35,0.0,0.01,0.0,0.36,0.36,0.09,0.0,0.36,0.01,0.44
7,0.0,0.15,0.18,0.14,0.31,0.0,0.94,0.11,0.04,0.0,0.21,0.0,0.02,0.02,0.08,0.01,0.02,0.01,0.44
8,0.04,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.02,0.0,0.01,0.0,0.08,0.08,0.03,0.0,0.08,0.01,0.44
9,0.72,0.02,0.03,0.1,0.12,0.0,0.48,0.0,0.02,0.0,0.01,0.0,0.04,0.04,0.01,0.0,0.04,0.0,0.44
10,1.0,0.28,0.51,0.38,1.0,0.01,0.98,0.0,0.01,0.0,0.09,0.0,1.0,1.0,0.18,0.0,1.0,0.0,0.44
11,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.01,0.0,0.07,0.07,0.07,0.0,0.07,0.0,0.44
12,0.14,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.15,0.0,0.01,0.0,0.44
13,0.04,0.0,0.0,0.0,0.0,0.01,0.47,0.01,0.99,0.01,0.01,0.0,0.33,0.33,0.08,0.0,0.33,0.01,0.44
