host_L2_BW,host_memory
-104790230.6,-9445.828347
-104796533.6,-8062.552889
-104796351.9,-9504.609773
-104794920.3,-9255.119498
-104796469.1,-9548.096715
-104796337.3,-9330.972539
-104796528.2,-8750.733271
-104794882.8,-8751.042271
-104796528.4,-8784.948108
-104796306.1,-9556.066988
-104793474.3,-9138.189863
-104796528.2,-9501.044577
-104796528.3,-9701.041298
-104796527.7,-7780.804981
-104793493.8,-9511.949657
-104796522.4,-7626.388749
-104795695.2,-7528.623676
-104795903.8,-7330.063772
-104795281.3,-8379.494594
-104796479.6,-7851.930614
-104795230,-8320.559259
-104794637.6,-8615.418432
-104796071.1,-7979.66762
-104794547.1,-7777.624616
-104796528.5,-9900.734747
-104796491.8,10222.24403
-104796294.9,-5785.618802
-104796300.8,-4463.182899
-104796396.5,-7078.826577
-104796317,-7395.791274
-104796445,-7023.800276
-104796192.8,-7940.249544
-104796528,-7534.08245
-104796392.3,-7765.294227
-104796517.5,939.6002668
-104796115.2,1296.857206
-104796395.3,33913.21361
-104795988.4,31998.11383
-104796334.9,-1746.043118
-104796415.9,-1787.523203
-104796456.7,-4622.723535
-104796499.1,-1266.522412
-104796344.2,-7101.984956
-104796528.2,22229.3382
-104796349.9,23177.97643
-104796527.1,103482.9606
-104796161.7,146160.5364
-104796225.8,173230.7028
-104796363.9,56173.4863
-104796412.6,-515.5038086
-104796511.4,2389.856635
-104796512.8,12272.67855
-104796475.6,-589.5869181
-104796522.9,-29.53260011
-104796527.5,22494.68252
-104796528.2,-9163.964394
-104796528.3,-8925.919451
-104796528.3,124481.7323
-104793655.6,-8620.189826
-104794408.4,-9736.682933
-104795319.1,-9262.599762
-104790614.9,-9299.632055
-104796528.4,-8874.423668
-104796527.9,-8891.918844
-104796527.3,-8571.367206
-104794674.8,-9265.970234
-104796526.9,-9470.988311
-104796528.3,-9388.778547
-104796517.7,-9088.296896
-104796527.9,-9280.870933
-104794700.2,-8832.970456
-104796528,-8519.853414
-104796527.6,-8643.711012
-104796527,-9521.058249
-104796528,-9096.307119
-104796528.2,-9362.427114
-104785697.3,-8682.841757
-104796527.9,-9077.546268
-104795588.9,-8986.930612
-104796005.9,-9458.029345
-104794347.1,-9393.595304
-104794263.4,-9473.120236
-104794665.1,-8890.368554
-104794868.7,-8766.378486
-104795937.1,-8844.949753
-104796388.5,-9423.383838
-104794548,-9547.67709
-104794639.4,-9194.872747
-104795230.7,-9460.661015
-104794489.2,-8792.950134
-104794356.2,-8821.939087
-104794218.4,-8884.535523
-104794910.5,-9454.037463
-104795571.9,-9533.173688
-104795548.8,-9377.773131
-104794513.8,-9226.961841
-104795386.3,-9469.21208
-104794437.5,-8760.829734
-104795781.9,-8769.160181
-104793686.8,-9217.532944
-104796294.3,-9598.00841
-104794368.9,-9573.088218
-104794542.1,-8882.107295
-104795356.7,-9001.331186
-104794697.5,-9345.65655
-104794164.2,-8707.66543
-104795966.5,1669.37387
-104796509.5,-9531.049504
-104795390.1,-9588.346509
11422720263,0.064179502
