benchmark_id,host_CPI,host_L2_BW,host_L3_BW,host_L3_SYSTEM_BW,host_MEM_BW,host_context_switch,host_cpupercent,host_disk_io,host_disk_io_time,host_disk_weighted_io_time,host_memory,host_network,latency,latency90,process_dur_ms,total_dur_ms,weighted_latency
cachebench,2.931,6306.101,9.269,15.607,10.988,1922.502,6.938,10.56,30.8,248.402,291.639,0.341,388.66,388.66,8.928,13.274,194.33
prev,4.024,3.118,3.403,6.803,5.685,3871.609,2.051,42.08,109.6,266.4,258.289,3.663,0.001,0.001,9.847,14.28,0.001
compress-7zip,3.406,184.8,135.547,137.477,104.903,2084.185,13.554,0.64,1.6,2.4,815.965,0.353,233.76,233.76,15.765,19.912,116.88
cpuminer-opt,12.485,1616.488,1445.494,897.715,339.534,2444.014,13.341,4.16,7.199,7.199,409.566,0.341,355.57,355.57,22.359,38.2,177.785
espeak,2.799,67.6,24.668,33.793,19.218,2004.611,6.568,4.16,10.4,18.4,271.598,0.356,51.64,51.64,9.512,13.938,25.82
fhourstones,12.817,199.414,181.595,177.432,130.342,2316.597,6.789,4.64,15.999,17.599,335.887,0.335,154.67,154.67,10.045,14.853,77.335
fs-mark,2.664,8.547,8.74,25.386,18.217,1945.195,3.2,1616.319,353.603,876.807,276.43,0.407,601.21,601.21,12.496,17.879,300.605
hmmer,2.484,1653.979,1086.502,818.589,968.559,2270.712,13.303,3872.283,38.399,59.199,751.676,0.358,28.89,28.89,12.343,46.823,14.445
n-queens,3.106,8.363,8.165,19.921,9.813,3052.799,14.082,12.48,20.8,58.4,274.641,0.333,137.82,137.82,10.09,14.624,68.91
postmark,14.379,230.678,202.637,598.448,361.157,1967.842,7.34,17.28,23.199,43.999,274.746,0.346,59.61,59.61,9.374,12.808,29.805
ramspeed,18.91,3062.438,3054.744,2200.517,3062.851,2623.121,13.796,6.72,8.8,9.6,465.344,0.335,1648.68,1648.68,16.199,21.603,824.34
redis,3.013,8.518,8.556,16.013,11.548,1873.713,1.175,14.72,36.8,216.8,284.891,0.339,114.28,114.28,11.806,17.082,57.14
sample-program,4.741,8.401,8.248,15.218,9.959,1779.764,6.574,4.16,14.4,24.8,275.781,0.338,17.77,17.77,15.145,21.447,8.885
sqlite,3.154,9.037,9.848,20.371,12.113,2940.437,7.116,211.681,991.2,1577.6,280.301,0.328,537.96,537.96,12.264,16.524,268.98
stream,4.145,3042.99,3029.056,2186.199,3055.008,2086.82,12.336,4,9.6,11.2,2569.602,0.331,76.23,76.23,12.287,16.649,38.115
lusearch,3.136,14.336,15.405,19.38,11.417,3965.005,9.133,951.525,464.761,601.55,323.523,0.398,0.602,0.668,16.58,20.668,0.301
pmd,2.929,841.594,589.948,280.671,50.841,4462.505,7.726,245.13,80.803,400.016,308.77,0.631,0.275,0.334,15.936,20.899,0.138
xalan,2.733,632.954,476.042,206.138,40.147,4590.586,9.832,220.481,73.6,562.403,286.316,0.454,0.748,0.792,13.589,17.97,0.374
luindex,3.055,1255.483,888.561,386.944,56.268,3407.938,5.922,367.04,151.999,211.999,313.453,0.529,0.305,0.328,12.866,17.441,0.152
sunflow,2.784,57.181,45.65,27.677,12.46,4205.793,5.63,283.2,118.399,179.999,289.113,0.421,0.646,0.71,11.781,16.945,0.323
h2,2.968,1306.725,683.869,436.647,130.451,3755.871,13.379,19.52,18.4,20.8,576.969,0.389,1.11,1.14,13.273,17.877,0.555
batik,3.446,1899.178,773.757,523.656,156.756,3070.688,6.642,495.998,131.999,183.999,427.289,0.413,1.27,1.5,11.456,15.264,0.635
fop,2.907,465.631,342.558,152.008,24.668,3466.484,5.355,711.356,96.8,652.797,365.77,0.426,0.906,1.025,11.799,15.716,0.453
parsec.blackscholes,4.017,1989.632,1455.089,680.374,132.578,4482.279,2.165,32.159,54.398,71.998,268.461,0.401,0.038,0.047,12.534,16.968,0.019
parsec.bodytrack,2.94,8.25,7.943,14.323,10.558,1481.402,1,6.88,20.8,37.6,268.422,0.334,0.159,0.159,13.133,17.425,0.08
parsec.dedup,2.577,44.981,28.041,41.208,12.345,28458.789,7.371,1017.441,83.2,1592.802,270.668,0.585,0.308,0.324,12.57,18.814,0.154
